"id";"regnumber";"lotsize";"shortname"
"ABIO";"1-01-08902-A";10;"iАРТГЕН ао"
"ABRD";"1-02-12500-A";10;"АбрауДюрсо"
"AFKS";"1-05-01669-A";100;"Система ао"
"AFLT";"1-01-00010-A";10;"Аэрофлот"
"AKAI";"6527";1;"AKAI ETF"
"AKBC";"6911";1;"AKBC ETF"
"AKCN";"7246";1;"AKCN ETF"
"AKFB";"6541";1;"AKFB ETF"
"AKFN";"7245";1;"AKFN ETF"
"AKGD";"4713";1;"AKGD ETF"
"AKGP";"6996";1;"AKGP ETF"
"AKHT";"6580";1;"AKHT ETF"
"AKIE";"6467";1;"ETF AKIE"
"AKMB";"4039";1;"ETF AKMB"
"AKMC";"7781";1;"AKMC ETF"
"AKME";"4213";1;"ETF AKME"
"AKMM";"5012";1;"AKMM ETF"
"AKMP";"6848";1;"AKMP ETF"
"AKPP";"6838";1;"AKPP ETF"
"AKQU";"4580";1;"AKQU ETF"
"AKRN";"1-03-00207-A";1;"Акрон"
"AKUP";"5955";1;"AKUP ETF"
"ALRS";"1-03-40046-N";10;"АЛРОСА ао"
"AMEZ";"1-03-45219-D";100;"АшинскийМЗ"
"AMFL";"6763";1;"AMFL ETF"
"AMGB";"6764";1;"AMGB ETF"
"AMGL";"7136";1;"AMGL ETF"
"AMIX";"7839";1;"AMIX ETF"
"AMNR";"5936";1;"AMNR ETF"
"AMNY";"6221";1;"AMNY ETF"
"AMRE";"4330";1;"AMRE ETF"
"AMRH";"4506";1;"AMRH ETF"
"AMVD";"7838";1;"AMVD ETF"
"AMVY";"7840";1;"AMVY ETF"
"APRI";"1-01-12464-K";10;"АПРИ"
"APTK";"1-01-07335-A";10;"Аптеки36и6"
"AQUA";"1-01-04461-D";1;"ИНАРКТИКА"
"ARSA";"1-01-03163-D";100;"Арсагера"
"ASSB";"1-01-55064-E";1000;"АстрЭнСб"
"ASTR";"1-01-01286-G";1;"iАстра ао"
"AVAN";"10102879B";1;"Авангрд-ао"
"BANE";"1-01-00013-A";1;"Башнефт ао"
"BANEP";"2-01-00013-A";1;"Башнефт ап"
"BAZA";"1-01-36413-N";10;"iБАЗИС"
"BCSB";"4301";1;"BCSB ETF"
"BCSD";"6330";1;"BCSD ETF"
"BCSE";"7231";1;"BCSE ETF"
"BCSG";"7003";1;"BCSG ETF"
"BCSR";"6615";1;"BCSR ETF"
"BCSW";"6918";1;"BCSW ETF"
"BELU";"1-01-55052-E";1;"НоваБев ао"
"BISVP";"2-01-00011-A";100;"БашИнСв ап"
"BLNG";"1-06-10167-F";100;"Белон ао"
"BNDA";"6971";1;"BNDA ETF"
"BNDB";"6955";1;"BNDB ETF"
"BNDC";"6970";1;"BNDC ETF"
"BOND";"4920";1;"BOND ETF"
"BRZL";"1-06-20577-F";1;"БурЗолото"
"BSPB";"10300436B";10;"БСП ао"
"BSPBP";"20100436B";100;"БСП ап"
"BTBR";"1-01-00001-G";1;"iВ2В-РТС"
"CARM";"1-01-03536-G";100;"СТГ"
"CASH";"6589";10;"CASH ETF"
"CBOM";"10101978B";100;"МКБ ао"
"CHGZ";"1-01-00185-A";10;"РН-ЗапСиб"
"CHKZ";"1-03-45058-D";1;"ЧКПЗ ао"
"CHMF";"1-02-00143-A";1;"СевСт-ао"
"CHMK";"1-01-00080-A";1;"ЧМК ао"
"CNRU";"1-01-16918-A";1;"iЦиан"
"CNTL";"1-03-00327-A";100;"Телеграф"
"CNTLP";"2-03-00327-A";100;"Телеграф-п"
"CNYM";"5866";1;"CNYM ETF"
"CORP";"7799";1;"CORP ETF"
"DATA";"1-01-87685-H";1;"iАренадата"
"DELI";"1-01-16750-A";1;"iКаршеринг"
"DIAS";"1-01-84777-H";1;"iДиасофт"
"DIOD";"1-03-06923-A";100;"ЗаводДИОД"
"DIVD";"4242";1;"ETF DIVD"
"DOMRF";"1-02-00739-A";1;"ДОМ.РФ"
"DVEC";"1-01-55275-E";1000;"ДЭК ао"
"DZRD";"1-01-02677-A";1;"ДонскЗР"
"DZRDP";"2-01-02677-A";1;"ДонскЗР п"
"EELT";"1-01-83993-H";10;"ЕвроЭлтех"
"ELFV";"1-01-50077-A";1000;"ЭЛ5Энер ао"
"ELMT";"1-01-16673-A";1000;"iЭлемент"
"ENPG";"1-01-16625-A";1;"ЭН+ГРУП ао"
"EQMX";"3965";1;"EQMX ETF"
"ESGE";"4568";1;"ESGE ETF"
"ESGR";"4057";1;"ESGR ETF"
"ETLN";"1-01-17142-A";1;"ЭталонГруп"
"EUTR";"1-01-80110-H";1;"ЕвроТранс"
"EVRZ";"1-01-00099-A";10;"ЕВРАЗ"
"FEES";"1-01-65018-D";10000;"Россети"
"FESH";"1-03-00032-A";10;"ДВМП ао"
"FINC";"6396";1;"FINC ETF"
"FIXR";"1-01-08699-G";1000;"Фикс Прайс"
"FLOT";"1-01-10613-A";10;"Совкомфлот"
"FLOW";"7137";1;"FLOW ETF"
"FMBR";"7306";1;"FMBR ETF"
"FMMM";"6459";1;"FMMM ETF"
"FMSA";"7802";1;"FMSA ETF"
"GAZA";"1-01-00029-A";10;"ГАЗ ао"
"GAZAP";"2-02-00029-A";10;"ГАЗ ап"
"GAZC";"1-01-09870-A";10;"ГАЗКОН-ао"
"GAZP";"1-02-00028-A";10;"ГАЗПРОМ ао"
"GAZS";"1-01-09871-A";10;"ГАЗ-сервис"
"GAZT";"1-01-12996-A";10;"ГАЗ-Тек ао"
"GCHE";"1-02-10797-A";1;"ЧеркизГ-ао"
"GECO";"1-01-87198-H";10;"iГЕНЕТИКО"
"GEMA";"1-01-85932-H";10;"iММЦБ ао"
"GEMC";"1-01-16774-A";1;"МКПАО ЮМГ"
"GLRX";"1-01-16806-A";1;"ГЛОРАКС"
"GMKN";"1-01-40155-F";10;"ГМКНорНик"
"GOLD";"4038";1;"GOLD ETF"
"GOOD";"6720";1;"GOOD ETF"
"GROD";"4444";1;"ETF GROD"
"GTRK";"1-01-84907-H";10;"ГТМ ао"
"HEAD";"1-01-16755-A";1;"Хэдхантер"
"HIMCP";"2-01-55076-D";100;"Химпром ап"
"HNFG";"1-01-03109-G";1;"ХЭНДЕРСОН"
"HYDR";"1-01-55038-E";1000;"РусГидро"
"IGST";"1-02-30078-D";1;"Ижсталь2ао"
"IGSTP";"2-02-30078-D";1;"Ижсталь ап"
"INCB";"1-01-07856-G";1;"Инкаб"
"INFL";"4742";1;"INFL ETF"
"INGO";"4483";1;"INGO ETF"
"IRAO";"1-04-33498-E";100;"ИнтерРАОао"
"IRKT";"1-03-00040-A";100;"Яковлев-3"
"IVAT";"1-01-10876-P";1;"iИВА"
"JNOS";"1-01-00199-A";100;"Славн-ЯНОС"
"JNOSP";"2-01-00199-A";100;"Слав-ЯНОСп"
"KAZT";"1-01-00067-A";10;"Куйбазот"
"KAZTP";"2-01-00067-A";10;"Куйбазот-п"
"KBSB";"1-01-55218-E";10;"ТНСэКубань"
"KCHE";"1-02-00235-A";10000;"КамчатЭ ао"
"KCHEP";"2-02-00235-A";10000;"КамчатЭ ап"
"KFBA";"1-01-50020-A";1;"ИНГРАД ао"
"KGKC";"1-01-55226-E";10;"КурганГКао"
"KGKCP";"2-01-55226-E";10;"КурганГКап"
"KLSB";"1-01-65057-D";100;"КалужскСК"
"KLVZ";"1-01-05421-G";100;"Кристалл"
"KMAZ";"1-08-55010-D";10;"КАМАЗ"
"KMEZ";"1-02-05376-A";1;"КМЗ"
"KOGK";"1-01-20992-F";1;"КоршГОК ао"
"KRKN";"1-01-00248-A";1;"СаратНПЗ"
"KRKNP";"2-01-00248-A";1;"СаратНПЗ-п"
"KRKOP";"2-01-30301-E";100;"ТКЗКК ап"
"KROT";"1-02-00060-A";10;"КрасОкт-ао"
"KROTP";"2-01-00060-A";10;"КрасОкт-1п"
"KRSB";"1-01-55147-E";100;"Красэсб ао"
"KRSBP";"2-01-55147-E";100;"Красэсб ап"
"KUZB";"10100609B";10000;"КузнецкийБ"
"KZOS";"1-02-55245-D";10;"ОргСинт ао"
"KZOSP";"2-02-55245-D";10;"ОргСинт ап"
"LEAS";"1-01-16419-A";1;"Европлан"
